Description,Price,Rating,ReviewCount,Url
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,"180,531",https://amazon.com/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_9?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-9
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","₹10,000",4.3 out of 5 stars,"37,989",https://amazon.com/Redmi-Prime-Sunrise-Storage-Display/dp/B08697WT79/ref=sr_1_10?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-10
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","₹5,000",3.0 out of 5 stars,"3,116",https://amazon.com/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_11?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-11
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"19,447",https://amazon.com/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_12?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-12
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJG8MQM/ref=sr_1_13?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-13
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJBPCTR/ref=sr_1_14?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-14
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)","₹14,499",4.0 out of 5 stars,"18,266",https://amazon.com/Test-Exclusive_2020_1142-Multi-3GB-Storage/dp/B089MS8NWG/ref=sr_1_15?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-15
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_16?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951131&sprefix=phones%2Caps%2C287&sr=8-16
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,799",4.2 out of 5 stars,"36,203",https://amazon.com/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_1?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-1
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,"180,531",https://amazon.com/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_2?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-2
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","₹6,999",4.2 out of 5 stars,"40,855",https://amazon.com/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_3?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-3
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹10,999",4.3 out of 5 stars,"56,761",https://amazon.com/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_4?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-4
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.2 out of 5 stars,"11,267",https://amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_5?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-5
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.2 out of 5 stars,"11,267",https://amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_6?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-6
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹12,999",4.2 out of 5 stars,"27,075",https://amazon.com/Test-Exclusive_2020_1138-Multi-3GB-Storage/dp/B089MTR9JW/ref=sr_1_7?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-7
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","₹12,499",4.2 out of 5 stars,"129,076",https://amazon.com/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_8?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-8
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,"180,531",https://amazon.com/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_9?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-9
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","₹10,000",4.3 out of 5 stars,"37,989",https://amazon.com/Redmi-Prime-Sunrise-Storage-Display/dp/B08697WT79/ref=sr_1_10?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-10
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","₹5,000",3.0 out of 5 stars,"3,116",https://amazon.com/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_11?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-11
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"19,447",https://amazon.com/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_12?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-12
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJG8MQM/ref=sr_1_13?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-13
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJBPCTR/ref=sr_1_14?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-14
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)","₹14,499",4.0 out of 5 stars,"18,266",https://amazon.com/Test-Exclusive_2020_1142-Multi-3GB-Storage/dp/B089MS8NWG/ref=sr_1_15?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-15
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_16?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951133&sprefix=phones%2Caps%2C287&sr=8-16
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,799",4.2 out of 5 stars,"36,203",https://amazon.com/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_1?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-1
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,"180,531",https://amazon.com/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_2?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-2
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","₹6,999",4.2 out of 5 stars,"40,855",https://amazon.com/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_3?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-3
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹10,999",4.3 out of 5 stars,"56,761",https://amazon.com/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_4?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-4
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.2 out of 5 stars,"11,267",https://amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_5?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-5
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.2 out of 5 stars,"11,267",https://amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_6?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-6
"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹12,999",4.2 out of 5 stars,"27,075",https://amazon.com/Test-Exclusive_2020_1138-Multi-3GB-Storage/dp/B089MTR9JW/ref=sr_1_7?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-7
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","₹12,499",4.2 out of 5 stars,"129,076",https://amazon.com/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_8?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-8
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,"180,531",https://amazon.com/Samsung-Galaxy-Space-Black-Storage/dp/B07HGN617M/ref=sr_1_9?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-9
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","₹10,000",4.3 out of 5 stars,"37,989",https://amazon.com/Redmi-Prime-Sunrise-Storage-Display/dp/B08697WT79/ref=sr_1_10?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-10
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","₹5,000",3.0 out of 5 stars,"3,116",https://amazon.com/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_11?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-11
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"19,447",https://amazon.com/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_12?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-12
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJG8MQM/ref=sr_1_13?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-13
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹13,499",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XJBPCTR/ref=sr_1_14?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-14
"Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)","₹14,499",4.0 out of 5 stars,"18,266",https://amazon.com/Test-Exclusive_2020_1142-Multi-3GB-Storage/dp/B089MS8NWG/ref=sr_1_15?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-15
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",4.0 out of 5 stars,"11,818",https://amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_16?crid=JAV8K4GU7W6H&dchild=1&keywords=phones+under+15000&qid=1621951135&sprefix=phones%2Caps%2C287&sr=8-16
